category,count
Brewery,2942
Cabinet store,2927
Swimming pool repair service,2918
Computer service,2917
Acupuncture clinic,2909
Embroidery shop,2904
Lunch restaurant,2897
Investment service,2896
T-shirt store,2891
Swimming pool supply store,2890
Taxi service,2879
Video production service,2875
Window treatment store,2873
Paving contractor,2865
Video game store,2862
Glass & mirror shop,2853
Diner,2847
Upholstery cleaning service,2837
Laundry service,2835
Radio broadcaster,2824
Used tire shop,2804
Salad shop,2795
Temp agency,2793
Engineering consultant,2786
Bankruptcy attorney,2784
Farmers' market,2781
Bicycle repair shop,2776
Vegetarian restaurant,2775
Picture frame shop,2745
Frozen yogurt shop,2740
Banner store,2730
Periodontist,2722
Furniture rental service,2690
Glass repair service,2687
Agricultural service,2671
Thai restaurant,2663
Animal feed store,2659
Upholstery shop,2645
Club,2637
University,2635
Diamond dealer,2620
Police department,2608
Counselor,2588
Baby clothing store,2586
Health consultant,2577
Trailer repair shop,2576
Engine rebuilding service,2576
Boat dealer,2573
Game store,2561
Latin American restaurant,2560
Digital printer,2555
Garage door supplier,2553
Phone repair service,2551
Outlet store,2549
Welder,2548
Place of worship,2530
Addiction treatment center,2522
RV repair shop,2521
Office furniture store,2517
Tile contractor,2515
Septic system service,2509
Women's health clinic,2505
Mental health clinic,2503
Holistic medicine practitioner,2502
Security system supplier,2497
College,2496
Audiologist,2494
Food products supplier,2475
Musical instrument store,2474
Office space rental agency,2467
Swimming pool,2460
Mediterranean restaurant,2457
Wood floor installation service,2456
Medical group,2438
Government office,2433
Church of Christ,2419
General practice attorney,2416
Health and beauty shop,2414
Roofing supply store,2392
Jewelry buyer,2390
Baseball field,2388
Steak house,2383
Recruiter,2370
Reflexologist,2369
Wallpaper store,2365
Drug testing service,2362
Janitorial service,2360
Dress store,2347
Plus size clothing store,2341
Fire damage restoration service,2336
Artist,2334
Coworking space,2333
Mortgage broker,2330
Window cleaning service,2329
Copy shop,2318
Smog inspection station,2313
Candle store,2309
Health insurance agency,2288
Chocolate shop,2276
Metal fabricator,2276
Laundry,2265
Episcopal church,2263
Boot store,2255
Wellness program,2252
Gold dealer,2250
Baby store,2243
Vegan restaurant,2241
Motel,2239
Architect,2237
Hobby store,2231
Cleaning service,2228
Screen repair service,2228
Soft drinks shop,2227
Hearing aid repair service,2226
Fabric store,2226
Jehovah's Witness Kingdom Hall,2218
General practitioner,2213
Deck builder,2205
Trailer dealer,2205
Music store,2204
Shipping company,2196
Tea house,2194
Party planner,2193
Flower delivery,2183
Paint manufacturer,2183
Wedding planner,2182
Tuxedo shop,2178
Medical office,2178
Cabinet maker,2177
Uniform store,2169
Fuel pump,2163
Laboratory,2161
Middle school,2159
Pub,2150
Learning center,2147
Indian restaurant,2140
Outdoor sports store,2140
Security system installer,2138
After school program,2135
Paintings store,2135
Shoe repair shop,2130
Body piercing shop,2125
Recording studio,2123
Insulation contractor,2122
Passport office,2120
Auction house,2119
Safety equipment supplier,2117
Golf club,2117
Alternative fuel station,2112
Data recovery service,2110
Jeans shop,2103
Fishing charter,2103
Emergency room,2101
Embroidery service,2091
Snow removal service,2072
Ranch,2065
Masonry contractor,2061
Cardiologist,2050
Wedding store,2046
Public swimming pool,2039
Bridge,2038
Brunch restaurant,2037
Private educational institution,2027
Swimwear store,2025
Flower designer,2022
Medical diagnostic imaging center,2021
Real estate,2019
Refrigerator repair service,2016
Department of motor vehicles,2008
Bail bonds service,2006
Limousine service,2005
Tractor dealer,1996
Motorcycle dealer,1993
Self service car wash,1989
Charity,1983
Sports medicine physician,1975
Fishing store,1974
Cremation service,1973
Permanent make-up clinic,1972
Youth organization,1970
Laser hair removal service,1969
Barber supply store,1966
Training centre,1966
Leather goods store,1959
Fence supply store,1956
Employment attorney,1947
Market,1931
Auto machine shop,1930
Tour operator,1926
Summer camp,1921
Hair extension technician,1920
Airport shuttle service,1912
Lodge,1905
Indoor lodging,1904
E-commerce service,1899
Library,1897
Dessert restaurant,1896
Bubble tea store,1895
Dental implants provider,1888
City park,1884
Immigration attorney,1881
Emergency veterinarian service,1877
Lawn sprinkler system contractor,1873
Stadium,1873
Plastic surgeon,1868
Washer & dryer repair service,1863
Truck stop,1863
Boat rental service,1860
Gastroenterologist,1860
Pipe supplier,1858
Fax service,1857
Catering food and drink supplier,1856
Surgical center,1855
Ready mix concrete supplier,1855
Emergency locksmith service,1853
Bed & breakfast,1848
Public bathroom,1845
Truck parts supplier,1835
Orthopedic clinic,1814
Vietnamese restaurant,1801
Records storage facility,1799
Cleaners,1798
Photography service,1794
Carpet installer,1791
Lottery retailer,1790
State government office,1788
Used auto parts store,1780
Public educational institution,1779
Bathroom supply store,1776
Sand & gravel supplier,1773
Dog breeder,1771
Horse boarding stable,1770
Psychiatrist,1767
Art center,1765
Airport,1761
Pain control clinic,1759
Jewelry appraiser,1758
Lawn equipment rental service,1750
Security guard service,1747
Rug store,1740
Conference center,1739
Art studio,1735
Computer security service,1730
Cable company,1729
Air conditioning system supplier,1710
Ravine,1695
Photography studio,1694
Security service,1692
Bookkeeping service,1692
Bottled water supplier,1689
Gymnastics center,1676
Soccer field,1666
Machine shop,1666
Gourmet grocery store,1663
Drainage service,1662
Newspaper publisher,1661
Dry wall contractor,1656
Children's furniture store,1655
Building restoration service,1655
Pentecostal church,1655
Greenhouse,1652
Water softening equipment supplier,1650
Child care agency,1649
Food bank,1647
Garden,1645
Welding supply store,1639
Seafood market,1638
Auto broker,1633
Student dormitory,1633
Mulch supplier,1630
Fireplace store,1629
Driving school,1624
Takeout restaurant,1619
Retirement home,1616
Federal credit union,1615
Tennis court,1611
Costume store,1610
Fashion designer,1609
Country club,1608
Glass shop,1604
Pool cleaning service,1601
Topsoil supplier,1599
Auto upholsterer,1597
Tattoo and piercing shop,1593
Bait shop,1591
RV dealer,1587
Car leasing service,1580
Marine supply store,1580
Bicycle rental service,1575
Salvage yard,1572
Music school,1569
Hot tub store,1566
Herb shop,1564
Landscape lighting designer,1560
Goldsmith,1560
Townhouse complex,1558
Employment center,1552
Self defense school,1542
Psychologist,1537
Engineer,1532
Education center,1532
Hat shop,1526
Garage builder,1525
Musical instrument repair shop,1523
Novelty store,1519
Granite supplier,1516
Otolaryngologist,1512
Asian fusion restaurant,1510
Occupational therapist,1510
Amusement center,1509
Coin dealer,1509
Pottery store,1509
Poster store,1508
Trophy shop,1504
Junkyard,1504
Movie theater,1502
Ear piercing service,1501
Auditorium,1500
Vintage clothing store,1498
Internet cafe,1498
Blood testing service,1497
Neurologist,1488
Certified public accountant,1480
ATV dealer,1480
Well drilling contractor,1476
Emergency care service,1474
Garbage dump service,1466
Motorcycle shop,1461
Civil law attorney,1461
Dog park,1459
Business park,1453
Sod supplier,1448
Tourist information center,1446
Business development service,1436
Children's party service,1435
Elder law attorney,1434
Resort hotel,1434
Golf driving range,1431
Arts organization,1427
Seventh-day Adventist church,1423
Wedding bakery,1422
Donations center,1416
Shooting range,1415
Natural goods store,1413
Tex-Mex restaurant,1413
Social security attorney,1411
DJ service,1410
Quilt shop,1407
Silversmith,1406
Stone supplier,1401
Used clothing store,1400
Fertilizer supplier,1395
Used furniture store,1395
Mobile home dealer,1391
Scenic spot,1383
Occupational health service,1381
Pastry shop,1378
Video arcade,1375
Family counselor,1375
Pilates studio,1371
Entertainer,1371
Bowling alley,1369
ATV repair shop,1369
Tour agency,1367
Pet trainer,1362
Psychotherapist,1358
Environmental consultant,1352
Antique furniture store,1351
Electric utility company,1340
Cookie shop,1339
Thai massage therapist,1333
Ford dealer,1331
City Hall,1329
Floor refinishing service,1328
Animal shelter,1325
Grain elevator,1324
Grill store,1324
Music instructor,1324
Bus charter,1324
Shower door shop,1323
Piano moving service,1321
Woodworker,1315
Engraver,1313
Wig shop,1310
Mosque,1310
Dairy farm,1310
Motor vehicle dealer,1293
Vehicle inspection,1286
Equipment supplier,1283
Burrito restaurant,1282
Eyebrow bar,1278
Land surveyor,1275
Vacuum cleaner store,1273
Debris removal service,1268
Garbage dump,1266
Sewing shop,1265
Savings bank,1262
Retaining wall supplier,1259
Fine dining restaurant,1258
Construction,1258
Dog walker,1257
Eyelash salon,1256
Television repair service,1253
Farm equipment repair service,1247
Mechanical contractor,1245
Athletic field,1244
Condominium rental agency,1242
Tractor repair shop,1237
Kindergarten,1235
Urologist,1235
Jewelry engraver,1231
Event management company,1221
Allergist,1220
Tutoring service,1217
Beverage distributor,1215
Stable,1212
Animal control service,1211
Animal rescue service,1207
Railroad company,1205
Bistro,1202
Chevrolet dealer,1202
Mexican grocery store,1193
Skateboard park,1192
Formal wear store,1192
Insurance attorney,1186
Student housing center,1184
Hookah bar,1182
Beauty product supplier,1182
Acupuncturist,1182
Gluten-free restaurant,1181
Health spa,1181
Assemblies of God church,1180
Buffet restaurant,1180
Karate school,1179
Herbal medicine store,1177
Landscape architect,1177
Reiki therapist,1175
Dry wall supply store,1174
Beach,1174
Web hosting company,1172
Memorial park,1171
Water utility company,1168
Racing car parts store,1168
Korean restaurant,1166
X-ray lab,1164
Food court,1162
Dance company,1161
Cabin rental agency,1159
Chimney sweep,1156
Swim club,1148
Wood and laminate flooring supplier,1148
Golf cart dealer,1140
Bay,1139
Fireworks store,1139
Comic book store,1135
Irrigation equipment supplier,1132
Courier service,1132
Historical place,1129
Electrical installation service,1126
Investment bank,1125
Flea market,1124
Used book store,1121
Screen printing shop,1117
Car alarm supplier,1117
Seed supplier,1115
Art school,1109
Homeowners' association,1107
Kitchen furniture store,1105
Arborist and tree surgeon,1103
Canoe & kayak rental service,1100
Appliance parts supplier,1099
Boat tour agency,1099
Mobile caterer,1094
Hospice,1092
Southern restaurant (US),1091
Aromatherapy service,1089
Shed builder,1087
Boxing gym,1086
Audio visual equipment supplier,1084
Picnic ground,1083
Foundation,1082
Wholesale bakery,1082
Educational institution,1077
Volunteer organization,1076
Restaurant supply store,1070
Digital printing service,1064
State park,1064
Adult entertainment club,1063
Lasik surgeon,1061
Sports club,1058
Canal,1056
Demolition contractor,1052
Marble supplier,1049
Produce wholesaler,1047
Sightseeing tour agency,1047
Metal supplier,1046
Paternity testing service,1041
Christmas tree farm,1040
Material handling equipment supplier,1038
Water testing service,1038
Meat wholesaler,1036
Beauty school,1033
General hospital,1031
Office equipment supplier,1030
Meat products,1029
Entertainment agency,1028
Kickboxing school,1026
Community college,1026
Visitor center,1025
Bus station,1021
Home theater store,1018
Property maintenance,1013
Housing authority,1013
Corporate campus,1013
Masonry supply store,1011
Plastic fabrication company,1009
Monument maker,1009
Record store,1008
Alcoholism treatment program,1008
Media company,1007
Steel fabricator,1007
Island,1006
Skateboard shop,1003
Souvenir store,1000
Natural feature,995
Marriage or relationship counselor,991
Yarn store,988
Adult day care center,988
Horseback riding service,986
Disc golf course,985
Asphalt contractor,984
Construction machine rental service,983
Refrigerator store,983
Guitar store,980
Hookah store,979
Diamond buyer,979
Used computer store,977
Metaphysical supply store,977
Audio visual consultant,975
Furniture maker,974
School district office,973
Stylist,973
Pregnancy care center,972
Federal government office,971
Sheet metal contractor,969
New American restaurant,966
Solar energy company,965
Greek restaurant,963
Work clothes store,961
Meat processor,957
Hair extensions supplier,956
Casino,956
Adult education school,952
Motorsports store,950
Carpenter,949
Festival,948
Food manufacturer,948
Coffee roasters,945
Pasta shop,944
Pool hall,941
Religious goods store,941
Millwork shop,940
Wood floor refinishing service,939
Beer distributor,938
University department,934
Public golf course,932
Auto painting,932
Speech pathologist,931
Cheesesteak restaurant,931
Radiologist,930
Design agency,927
Hot dog restaurant,925
Oncologist,923
Second hand store,921
Psychic,920
Used appliance store,918
Janitorial equipment supplier,918
Middle Eastern restaurant,916
Firewood supplier,914
Halal restaurant,914
Chamber of Commerce,914
Exporter,913
Western apparel store,904
Adult entertainment store,904
Taxidermist,902
Steel distributor,900
Aerospace company,900
Soul food restaurant,900
Tennis club,899
Art supply store,898
Fuel supplier,897
RV supply store,892
Pet adoption service,889
Sewing machine repair service,888
Surf shop,888
Golf shop,886
Garden furniture shop,885
Airline,885
Sheriff's department,884
Video editing service,884
Bus company,881
Oil & natural gas company,881
Cajun restaurant,880
Paper distributor,880
Television station,878
Pretzel store,876
Human resource consulting,875
Golf instructor,875
Park & ride,873
Technical school,872
Concrete product supplier,871
Vacuum cleaner repair shop,870
Publisher,867
Rustic furniture store,867
Endocrinologist,865
Basketball court,864
Evangelical church,864
Sleep clinic,864
Furnished apartment building,863
Retreat center,861
Packaging company,860
Fire protection service,859
Crane service,859
Painting studio,856
Veterinary care,855
Tea store,853
Tent rental service,852
Asian grocery store,851
Cold storage facility,850
Medical equipment supplier,848
Custom label printer,848
Furniture repair shop,846
Accounting firm,844
Public health department,844
Funeral director,842
Do-it-yourself shop,839
Powder coating service,837
Apartments,837
Blood donation center,837
Solar energy equipment supplier,832
Meditation center,831
Foot massage parlor,831
Grocery delivery service,830
Tool repair shop,829
Caribbean restaurant,827
Veterinary pharmacy,826
Housing complex,826
Church of the Nazarene,825
Lawn irrigation equipment supplier,822
Cruise agency,822
Vineyard,819
Commercial agent,819
Performing arts group,819
Camping store,818
Water filter supplier,818
Payroll service,816
Baseball,815
Horse riding school,814
Home audio store,812
Civil engineer,812
Snowboard shop,808
Small appliance repair service,807
Soup restaurant,807
Furniture accessories,806
Spa and health club,804
Plastic surgery clinic,804
Inn,801
Hydraulic repair service,801
Private investigator,799
Equestrian facility,799
Audio visual equipment rental service,798
Water sports equipment rental service,797
Musical instrument rental service,795
Orthotics & prosthetics service,794
Educational consultant,793
Fastener supplier,793
Water purification company,791
Train station,790
Mediation service,789
Waterproofing company,787
Employment search service,784
Air conditioning store,782
Entertainment,781
School bus service,780
Local government office,778
Virtual office rental,773
Homeless shelter,770
STD testing service,769
Battery store,766
Scrap metal dealer,765
Technical service,762
Hot tub repair service,761
Flower market,761
Insulation materials store,760
Blinds shop,760
Air filter supplier,760
Horse trainer,757
Commercial photographer,756
Life coach,756
Entertainment and recreation,756
Auto spring shop,755
Invitation printing service,753
Fruit and vegetable store,751
Cupcake shop,751
Heating oil supplier,750
Luggage store,746
Musician,745
Leather cleaning service,744
Exercise equipment store,742
Construction material wholesaler,740
Wedding chapel,737
Fingerprinting service,734
Swimming instructor,734
Peninsula,733
Trade school,731
Wholesale plant nursery,730
Escape room center,730
Brewpub,729
Social club,728
Radiator repair service,725
Jamaican restaurant,723
History museum,719
Cancer treatment center,719
Orchard,718
Decal supplier,716
Bed shop,714
Crane rental agency,713
Ophthalmology clinic,713
Welding gas supplier,710
Vending machine supplier,709
Forklift rental service,708
Local medical services,708
Auto auction,704
Tattoo removal service,703
Charter school,702
Fried chicken takeaway,700
Art handcraft,699
Sculpture,697
Salvadoran restaurant,696
Children's amusement center,693
Divorce service,691
Soccer club,690
Prison,688
Ski shop,688
Childrens store,688
Executive suite rental agency,688
Waterfall,686
Cheese shop,682
Synagogue,682
Department of Transportation,681
Balloon store,680
Recreation,679
Wildlife refuge,672
Industrial gas supplier,672
French restaurant,671
Organic shop,669
Cars,667
Safe & vault shop,666
Solar energy contractor,664
Apostolic church,664
United Church of Christ,664
Linens store,663
Burglar alarm store,662
Hydroponics equipment supplier,662
Molding supplier,662
Scaffolding rental service,661
Sports activity location,660
Batting cage center,660
Commercial refrigeration,658
Sofa store,658
Orthodox synagogue,658
Organic restaurant,657
Running store,657
Softball field,657
Labor union,657
Used office furniture store,656
Fairground,655
Corporate entertainment service,654
Jeep dealer,654
Flight school,654
Light bulb supplier,653
Hawaiian restaurant,651
Pulmonologist,649
Christmas store,648
Foot care,647
Outdoor swimming pool,646
Awning supplier,645
Hair replacement service,642
Ammunition supplier,640
Jujitsu school,640
Distillery,639
Rock shop,638
Historical society,637
Disability services & support organisation,637
Community garden,636
Taekwondo school,636
Driver's license office,636
MRI center,635
Underwear store,634
Home automation company,633
Hydraulic equipment supplier,633
Wholesale grocer,632
Car racing track,632
Grill,631
Sauna,631
Leather repair service,630
Photo restoration service,629
Cafeteria,629
Naturopathic practitioner,628
Boot camp,628
Tack shop,628
Dodge dealer,625
Honda dealer,625
Oxygen equipment supplier,624
Spanish restaurant,624
Skate shop,623
Dental laboratory,623
Spring,620
Amusement park ride,619
Firearms academy,619
Guitar instructor,619
Food producer,618
Oilfield,618
City courthouse,617
Finance broker,617
Telecommunications contractor,617
Microwave oven repair service,617
Construction machine dealer,616
Hand surgeon,616
Emergency care physician,616
Mortuary,612
Indoor playground,611
Appraiser,611
County court,610
Indoor cycling,609
Miniature golf course,608
Hair care,608
Utility trailer dealer,607
Dance store,607
Stock broker,605
Wetland,605
Southeast Asian restaurant,602
Buick dealer,600
Neurosurgeon,598
Religious institution,598
Wi-Fi spot,597
Mountain pass,596
Social security office,594
GMC dealer,594
Rheumatologist,593
Weightlifting area,592
Generator shop,590
Computer networking center,589
Printer repair service,588
European restaurant,586
Farm shop,586
Sports memorabilia store,584
Electric motor repair shop,583
Oil field equipment supplier,583
Video store,583
Sports nutrition store,582
Boat club,581
Camera store,575
Rest stop,575
Radiator shop,574
Piano instructor,573
Cleaning products supplier,573
Hoagie restaurant,572
Boat cover supplier,570
Oral and maxillofacial surgeon,570
Buddhist temple,568
Washer & dryer store,568
Haunted house,568
Used motorcycle dealer,567
Occupational medical physician,566
Call center,564
Concert hall,562
Antique furniture restoration service,561
Utility contractor,561
Indoor swimming pool,559
Furnace parts supplier,558
Dance hall,557
T-shirt company,556
Gun club,555
Protestant church,555
Tropical fish store,554
Catholic school,553
Football Field,551
Exhibit,550
Paving materials supplier,548
Used musical instrument store,548
Mountain cabin,548
Ramen restaurant,548
Sandblasting service,546
Escrow service,546
Cultural center,545
Seafood wholesaler,545
Popcorn store,545
Chrysler dealer,544
Custom tailor,542
Indian grocery store,541
